block,config_id,payoff,n_seeds,lil_p,lil_rej,ks_std_p,skew,kurt
Exp05_axis,Exp05ax-omega3,OTM_K125,50,0.12281289764134525,0,0.5214743336060472,-0.2872962571778273,2.639867883931688
Exp05_axis,Exp05ax-omega4,ATM,50,0.4858188727070304,0,0.8349630775661949,0.18709757508746666,2.3438448966454044
Exp05_axis,Exp05ax-omega4,OTM_K110,50,0.62563816209761,0,0.9000169864994675,0.20448851502785176,2.282768946729289
Exp05_axis,Exp05ax-omega4,OTM_K125,50,0.5387897664564668,0,0.862098698491352,0.22685894447836136,2.2850425230497717
Exp05_axis,Exp05ax-omega5,ATM,50,0.05949567958309847,0,0.41088021581107514,0.19783868109334712,2.1209275858182393
Exp05_axis,Exp05ax-omega5,OTM_K110,50,0.07930046718810406,0,0.45595621363491723,0.14892441806923587,2.0304443951725633
Exp05_axis,Exp05ax-omega5,OTM_K125,50,0.33505827931475496,0,0.7362262393208112,0.04612361819905374,2.0390635553324015
Exp05_axis,Exp05ax-xi1,ATM,50,0.9660270389522719,0,0.996358557159623,-0.46090360054098073,3.7211065183642473
Exp05_axis,Exp05ax-xi1,OTM_K110,50,0.9593932968132366,0,0.9951245376254602,-0.35111421977311547,3.2820897740192487
Exp05_axis,Exp05ax-xi1,OTM_K125,50,0.6387015183778497,0,0.9052162217642323,-0.24358570197922888,2.6770129593548972
Exp05_axis,Exp05ax-xi2,ATM,50,0.4011031538364486,0,0.7810753212667912,-0.4888425708623004,3.8770703860648137
Exp05_axis,Exp05ax-xi2,OTM_K110,50,0.7067488259998308,0,0.9299738213946537,-0.3562203427334537,3.4805510180129198
Exp05_axis,Exp05ax-xi2,OTM_K125,50,0.9814120731432959,0,0.9982980618432185,-0.21402761976527684,2.9874084147319198
Exp05_axis,Exp05ax-xi3,ATM,50,0.7030748817856797,0,0.9287396846257048,-0.4010823120492749,4.089699243705856
Exp05_axis,Exp05ax-xi3,OTM_K110,50,0.8966605238188533,0,0.9825721621914189,-0.2199792582745794,3.66921175464785
Exp05_axis,Exp05ax-xi3,OTM_K125,50,0.9045893665573715,0,0.9842892670919637,0.005547938879581269,3.213592131755748
Exp05_axis,Exp05ax-xi4,ATM,50,0.43687914325116417,0,0.8044295454412582,0.42932383181297384,3.4860543103382575
Exp05_axis,Exp05ax-xi4,OTM_K110,50,0.18060563139643693,0,0.5908488239853156,0.49145030497572584,3.250570529854533
Exp05_axis,Exp05ax-xi4,OTM_K125,50,0.14324511712614282,0,0.5456724136324218,0.5103822392461209,3.0167676697389747
Exp05_axis,Exp05ax-xi5,ATM,50,0.3841736568838578,0,0.7697697745510454,0.13180556588092854,3.1180570416926394
Exp05_axis,Exp05ax-xi5,OTM_K110,50,0.1249702043349289,0,0.5240093191058924,0.26910047014962446,2.9940595786104542
Exp05_axis,Exp05ax-xi5,OTM_K125,50,0.430157184694448,0,0.8001020938165374,0.3422284227455513,2.805748337780758
Exp05_axis,Exp05ax-rho1,ATM,50,0.18881133529248334,0,0.6008954731501378,-0.39858250313751903,2.4182399337839886
Exp05_axis,Exp05ax-rho1,OTM_K110,50,0.18308738725685095,0,0.5938835593414875,-0.42445790085712365,2.4204869526346604
Exp05_axis,Exp05ax-rho1,OTM_K125,50,0.22501299093026697,0,0.6455263125196087,-0.39309521550848237,2.4699650063559604
Exp05_axis,Exp05ax-rho2,ATM,50,0.45677395491489364,0,0.8170568017501972,-0.29051270266781976,2.0695539373310328
Exp05_axis,Exp05ax-rho2,OTM_K110,50,0.2705345638313941,0,0.6909780424215548,-0.2961321471300741,2.0470071840809156
Exp05_axis,Exp05ax-rho2,OTM_K125,50,0.16423121888592845,0,0.5709212419526333,-0.267452861765341,2.1025567313274403
Exp05_axis,Exp05ax-rho3,ATM,50,0.662719351901244,0,0.9144068780393139,-0.05712386913392023,2.4273417874325203
Exp05_axis,Exp05ax-rho3,OTM_K110,50,0.8483869250602359,0,0.972885507010096,-0.07897361637531854,2.5226371462400983
Exp05_axis,Exp05ax-rho3,OTM_K125,50,0.7419641530276231,0,0.9411924720493507,-0.05686953592473357,2.595766402023999
Exp05_axis,Exp05ax-rho4,ATM,50,0.4878492389129611,0,0.836189573036992,-0.18268572641840905,2.221751050769323
Exp05_axis,Exp05ax-rho4,OTM_K110,50,0.6657067157852409,0,0.9155160467972658,-0.24815802231538264,2.352966429371994
Exp05_axis,Exp05ax-rho4,OTM_K125,50,0.6787368688256824,0,0.9202646673843838,-0.2866132764126473,2.5086055123224065
Exp05_axis,Exp05ax-rho5,ATM,50,0.680914893064839,0,0.9210441453147853,-0.5498683626235578,2.727839735132624
Exp05_axis,Exp05ax-rho5,OTM_K110,50,0.3796001456539255,0,0.7666906551672993,-0.4831539645591248,2.578240591785765
Exp05_axis,Exp05ax-rho5,OTM_K125,50,0.5172205369289847,0,0.8518512701672069,-0.4124070743322693,2.4737015568266423
Exp05_diag,Exp05dg-vkappa_s1,ATM,50,0.9096979518702472,0,0.9855050642412263,-0.02953545894773096,2.686739754499243
