block,config_id,payoff,n_cal,n_test,r_eff,sigma_delta,mu_delta,theory_mr,empirical_mr,ratio,in_range,exp,pair,proto_pair,axis,step,diag,scale,window,clipped,n_seeds,scenario
Exp03,Exp03-B2B2-C,ATM,24,6,1.762,0.000619,-0.00503266,0.00503266,0.00512089,1.0175,True,exp03,C,B2B2,,,,,,,,
Exp03,Exp03-B2B2-C,OTM_K110,24,6,1.762,0.000601,-0.0050985,0.0050985,0.00518758,1.0175,True,exp03,C,B2B2,,,,,,,,
Exp03,Exp03-B2B2-C,OTM_K125,24,6,1.762,0.000553,-0.00478343,0.00478343,0.00484933,1.0138,True,exp03,C,B2B2,,,,,,,,
Exp03,Exp03-B2B2-D,ATM,24,6,2.128,0.00131,-0.0157582,0.0157582,0.01523874,0.967,True,exp03,D,B2B2,,,,,,,,
Exp03,Exp03-B2B2-D,OTM_K110,24,6,2.128,0.001327,-0.01594929,0.01594929,0.01547041,0.97,True,exp03,D,B2B2,,,,,,,,
Exp03,Exp03-B2B2-D,OTM_K125,24,6,2.128,0.001348,-0.01506929,0.01506929,0.01462702,0.9707,True,exp03,D,B2B2,,,,,,,,
Exp03,Exp03-B2B2-E,ATM,24,6,3.602,0.006954,-0.06051802,0.06051802,0.05795232,0.9576,True,exp03,E,B2B2,,,,,,,,
Exp03,Exp03-B2B2-E,OTM_K110,24,6,3.602,0.006982,-0.06134491,0.06134491,0.05883915,0.9592,True,exp03,E,B2B2,,,,,,,,
Exp03,Exp03-B2B2-E,OTM_K125,24,6,3.602,0.007002,-0.05937923,0.05937923,0.05694933,0.9591,True,exp03,E,B2B2,,,,,,,,
Exp05_axis,Exp05ax-v1,ATM,150,50,2.117,4.3e-05,-0.00036254,0.00036254,0.00035532,0.9801,True,exp05_axis,,,v,0.001,,,,,,
Exp05_axis,Exp05ax-v1,OTM_K110,150,50,2.117,4.1e-05,-0.00036813,0.00036813,0.00036147,0.9819,True,exp05_axis,,,v,0.001,,,,,,
Exp05_axis,Exp05ax-v1,OTM_K125,150,50,2.117,3.4e-05,-0.00033278,0.00033278,0.00032717,0.9831,True,exp05_axis,,,v,0.001,,,,,,
