protocol_pair,pair,payoff,rho,sigma_1,sigma_2,sigma_delta,mu,s
AA,D,OTM_K110,0.6385413624026444,0.0011548055398723314,0.0013952562490681826,0.0011057200130559985,-0.011219950765371314,-10.147189734190952
AB1,D,OTM_K110,-0.23546409878244998,0.0011548055398723314,0.001742550058366714,0.0023060156971314565,-0.010773983349402744,-4.672120559632324
AB2,D,OTM_K110,-0.2044996999836353,0.0011548055398723314,0.0036689897838763376,0.00406546183669258,-0.02768676107128462,-6.810237602379988
AB3,D,OTM_K110,0.03959682875228562,0.0011548055398723314,0.0019490845983549108,0.0022258159038528735,-0.011184504379828764,-5.024900918565842
B1B1,D,OTM_K110,0.8224438814167677,0.0014222291947915753,0.001742550058366714,0.000991303227930848,-0.010518917441368111,-10.611200634667858
B2B2,D,OTM_K110,0.9615981780939103,0.0026474808585949137,0.0036689897838763376,0.0013377289860180008,-0.015760197490453737,-11.781308213532022
AA,D,OTM_K125,0.6607952175515419,0.0009745908628475857,0.0012341713477465655,0.0009398836493108145,-0.010237536951899523,-10.892344982707561
AB1,D,OTM_K125,-0.2886934702236222,0.0009745908628475857,0.0015247131810611086,0.0020328694479661747,-0.009996029610435164,-4.9172019484261
AB2,D,OTM_K125,-0.2183076636928229,0.0009745908628475857,0.003696773084358761,0.004023557419476088,-0.026374351854125663,-6.554983340478809
AB3,D,OTM_K125,0.039796627998744345,0.0009745908628475857,0.0017043750145946052,0.0019293811714144312,-0.0103582768390576,-5.368704221086566
B1B1,D,OTM_K125,0.8394139416680685,0.0012177491865351564,0.0015247131810611086,0.0008309951984334682,-0.009675316140055651,-11.64304698546376
B2B2,D,OTM_K125,0.9693450269894862,0.0026727424050393103,0.003696773084358761,0.0012862399130687,-0.014887613058090221,-11.57452268960577
AA,E,ATM,0.6645761654515044,0.001222169502260734,0.0012812507191002943,0.0010266326903350855,-0.031767845153808594,-30.94373036518036
AB1,E,ATM,0.05376091236695793,0.001222169502260734,0.0015101968539437437,0.0018910150765886966,-0.032192186514536564,-17.023759838345537
AB2,E,ATM,-0.061871832553196754,0.001222169502260734,0.007472546229261011,0.007646094522792284,-0.0718205784757932,-9.393106279513399
