config_id,block,payoff,ratio_b5,ratio_V1,V2_median,V2_q10,V2_q90,n_cal,n_test
Exp05ax-rho1,Exp05_axis,OTM_K110,0.9977,0.9954457404572045,1.005687261802034,1.0027130238142379,1.012898788852701,150,50
Exp05ax-rho1,Exp05_axis,OTM_K125,1.0115,1.011383226461551,1.0003005019185556,0.9997903920134628,1.0044447989509024,150,50
Exp05ax-rho2,Exp05_axis,ATM,0.9795,0.9680578200257006,1.0076320235338452,1.0011751944401028,1.0181638738468184,150,50
Exp05ax-rho2,Exp05_axis,OTM_K110,1.006,1.0035051146114529,1.005514065769777,1.001303936488135,1.0086902069019448,150,50
Exp05ax-rho2,Exp05_axis,OTM_K125,1.0143,1.014174027664996,1.000413216360536,0.9997651421792507,1.0061727036914028,150,50
Exp05ax-rho3,Exp05_axis,ATM,0.9744,0.9629196343561092,1.006886260008649,1.0020304468627748,1.0108950686839597,150,50
Exp05ax-rho3,Exp05_axis,OTM_K110,0.9983,0.996047489533885,1.0029910047532757,1.000957865894812,1.0073342878366112,150,50
Exp05ax-rho3,Exp05_axis,OTM_K125,1.0082,1.0081270782427456,1.0001129437598362,0.999866757241484,1.0037164495552444,150,50
Exp05ax-rho4,Exp05_axis,ATM,0.9638,0.9541307779242653,1.004425964644792,0.9977997096168191,1.0107469520243144,150,50
Exp05ax-rho4,Exp05_axis,OTM_K110,0.9911,0.9899420078358868,1.001641825349231,0.9997151091583915,1.0052613401875434,150,50
Exp05ax-rho4,Exp05_axis,OTM_K125,1.0025,1.0024466689646785,1.0003676193982427,1.0000012945014152,1.0020930440628382,150,50
Exp05ax-rho5,Exp05_axis,ATM,1.0284,1.0287134480652853,1.0003711541742555,0.9998739497444288,1.0032181263099966,150,50
Exp05ax-rho5,Exp05_axis,OTM_K110,1.0153,1.0152717501752693,1.0001132912392312,1.0000044994292767,1.0006078711483,150,50
Exp05ax-rho5,Exp05_axis,OTM_K125,1.0097,1.0096900463910028,1.0001694599343907,1.0000020913484542,1.0004353768231675,150,50
Exp05ax-v1,Exp05_axis,ATM,0.9801,0.9800981073404171,1.0000650117706316,1.0000028894951607,1.0008049931831362,150,50
Exp05ax-v1,Exp05_axis,OTM_K110,0.9819,0.9819250082383257,1.000064586675228,1.0000026710108565,1.0003449075263704,150,50
Exp05ax-v1,Exp05_axis,OTM_K125,0.9831,0.9831376782548945,1.000030720789042,1.0000013037256,1.00048407169753,150,50
Exp05ax-v2,Exp05_axis,ATM,0.9858,0.9858230474080473,1.000073480034379,1.0000004967438054,1.0003850214848984,150,50
Exp05ax-v2,Exp05_axis,OTM_K110,0.9873,0.9872945382530055,1.0001299192783593,1.0000375725457413,1.0006048000017533,150,50
Exp05ax-v2,Exp05_axis,OTM_K125,0.9879,0.9879304681157798,1.0000457902780309,1.0000023359361199,1.0003997483104654,150,50
Exp05ax-v3,Exp05_axis,ATM,0.975,0.9750234854577433,1.000096868676243,1.0000112990695593,1.0003296143177685,150,50
Exp05ax-v3,Exp05_axis,OTM_K110,0.977,0.9770321439591878,1.0000393135825079,1.0000027760476065,1.0002593750428312,150,50
Exp05ax-v3,Exp05_axis,OTM_K125,0.9783,0.9782799925677937,1.0000293446446546,1.0000041196963059,1.0004973420026662,150,50
Exp05ax-v4,Exp05_axis,ATM,0.9693,0.9692644458104419,1.0000627055199551,1.0000079674824804,1.0002476640046933,150,50
Exp05ax-v4,Exp05_axis,OTM_K110,0.9714,0.9714182067420337,1.0000388764658075,1.000002169916981,1.0004231119486962,150,50
Exp05ax-v4,Exp05_axis,OTM_K125,0.9735,0.9735009876932809,1.0000314317259982,1.000002241220243,1.0002493063545723,150,50
Exp05ax-v5,Exp05_axis,ATM,0.9977,0.9976776703406413,1.0000075975744451,1.0000003805121964,1.0000458218949402,150,50
Exp05ax-v5,Exp05_axis,OTM_K110,0.9972,0.9972417997922352,1.00000814476036,1.000000991161996,1.0000406970172937,150,50
Exp05ax-v5,Exp05_axis,OTM_K125,0.9971,0.9970947739001695,1.0000044197957338,1.0000000158768998,1.0000215182940906,150,50
Exp05ax-xi1,Exp05_axis,ATM,0.9376,0.9386858013089546,1.0019930889979383,0.9993256369707091,1.0083005118307884,150,50
Exp05ax-xi1,Exp05_axis,OTM_K110,0.9337,0.9337366692092585,1.0013920917933266,1.0003039005243968,1.0044399054252509,150,50
Exp05ax-xi1,Exp05_axis,OTM_K125,0.938,0.9379891700674059,1.0004782406995738,1.0000549019773026,1.002057911811175,150,50
Exp05ax-xi2,Exp05_axis,ATM,0.9496,0.950000396683192,1.0005814203368946,0.9985260555347583,1.0074210773536614,150,50
Exp05ax-xi2,Exp05_axis,OTM_K110,0.9465,0.9464338029414247,1.0020698765386093,1.000542261491147,1.0041163962899442,150,50
Exp05ax-xi2,Exp05_axis,OTM_K125,0.9525,0.95249927273212,1.0005389660836377,1.000042685852857,1.00202257603071,150,50
Exp05ax-xi3,Exp05_axis,ATM,0.966,0.9666186563987406,1.0015204736132497,0.9993624687856978,1.0079739995652095,150,50
Exp05ax-xi3,Exp05_axis,OTM_K110,0.9563,0.9563314837408615,1.000652964547277,1.0001611494631304,1.0019737551249217,150,50
Exp05ax-xi3,Exp05_axis,OTM_K125,0.9602,0.9601877093381934,1.0002524229334837,1.000044390832671,1.000902712829155,150,50
Exp05ax-xi4,Exp05_axis,ATM,0.9841,0.9840838540710949,0.9999044500000909,0.9995100873163631,1.0061041169637797,150,50
Exp05ax-xi4,Exp05_axis,OTM_K110,0.9808,0.9808464546514566,1.0002228321984852,1.0000052285276566,1.0021550423402428,150,50
Exp05ax-xi4,Exp05_axis,OTM_K125,0.9773,0.9773055483824761,1.000528437977924,1.000012884930125,1.0028098152140785,150,50
Exp05ax-xi5,Exp05_axis,ATM,0.9882,0.9881633250885752,1.0001579689250626,1.0000263480063591,1.0007821049068997,150,50
Exp05ax-xi5,Exp05_axis,OTM_K110,0.9917,0.9917237157731079,1.0000536916054925,1.0000073036252919,1.0002898880547513,150,50
Exp05ax-xi5,Exp05_axis,OTM_K125,0.9937,0.9937080451796287,1.000067060729422,1.000008699929895,1.0003360803943122,150,50
Exp05dg-all5_s16,Exp05_diag,ATM,0.998,0.9979538523526048,1.000047767262834,1.0000032799053846,1.0002737793932066,150,50
Exp05dg-all5_s16,Exp05_diag,OTM_K110,0.9986,0.9985512648306888,1.0000716221569081,1.0000029157902055,1.000225919266272,150,50
Exp05dg-all5_s16,Exp05_diag,OTM_K125,0.9998,0.9997941939326596,1.0000400370062916,1.0000009608742069,1.0002707526263361,150,50
Exp05dg-all5_s1,Exp05_diag,ATM,1.003,1.0030304783720259,1.00018154664606,1.0000035094348585,1.0010430755971147,150,50
