key,block,config_id,payoff,n_cal,n_test_lo,n_test_hi,n_seeds
Exp05_diag__Exp05dg-vkappa_s2__OTM_K110,Exp05_diag,Exp05dg-vkappa_s2,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s2__OTM_K125,Exp05_diag,Exp05dg-vkappa_s2,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s4__ATM,Exp05_diag,Exp05dg-vkappa_s4,ATM,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s4__OTM_K110,Exp05_diag,Exp05dg-vkappa_s4,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s4__OTM_K125,Exp05_diag,Exp05dg-vkappa_s4,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s8__ATM,Exp05_diag,Exp05dg-vkappa_s8,ATM,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s8__OTM_K110,Exp05_diag,Exp05dg-vkappa_s8,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s8__OTM_K125,Exp05_diag,Exp05dg-vkappa_s8,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s16__ATM,Exp05_diag,Exp05dg-vkappa_s16,ATM,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s16__OTM_K110,Exp05_diag,Exp05dg-vkappa_s16,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vkappa_s16__OTM_K125,Exp05_diag,Exp05dg-vkappa_s16,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vomega_s1__ATM,Exp05_diag,Exp05dg-vomega_s1,ATM,150,150,200,200
Exp05_diag__Exp05dg-vomega_s1__OTM_K110,Exp05_diag,Exp05dg-vomega_s1,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vomega_s1__OTM_K125,Exp05_diag,Exp05dg-vomega_s1,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vomega_s2__ATM,Exp05_diag,Exp05dg-vomega_s2,ATM,150,150,200,200
Exp05_diag__Exp05dg-vomega_s2__OTM_K110,Exp05_diag,Exp05dg-vomega_s2,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vomega_s2__OTM_K125,Exp05_diag,Exp05dg-vomega_s2,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vomega_s4__ATM,Exp05_diag,Exp05dg-vomega_s4,ATM,150,150,200,200
Exp05_diag__Exp05dg-vomega_s4__OTM_K110,Exp05_diag,Exp05dg-vomega_s4,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vomega_s4__OTM_K125,Exp05_diag,Exp05dg-vomega_s4,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vomega_s8__ATM,Exp05_diag,Exp05dg-vomega_s8,ATM,150,150,200,200
Exp05_diag__Exp05dg-vomega_s8__OTM_K110,Exp05_diag,Exp05dg-vomega_s8,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vomega_s8__OTM_K125,Exp05_diag,Exp05dg-vomega_s8,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vomega_s16__ATM,Exp05_diag,Exp05dg-vomega_s16,ATM,150,150,200,200
Exp05_diag__Exp05dg-vomega_s16__OTM_K110,Exp05_diag,Exp05dg-vomega_s16,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vomega_s16__OTM_K125,Exp05_diag,Exp05dg-vomega_s16,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vxi_s1__ATM,Exp05_diag,Exp05dg-vxi_s1,ATM,150,150,200,200
Exp05_diag__Exp05dg-vxi_s1__OTM_K110,Exp05_diag,Exp05dg-vxi_s1,OTM_K110,150,150,200,200
Exp05_diag__Exp05dg-vxi_s1__OTM_K125,Exp05_diag,Exp05dg-vxi_s1,OTM_K125,150,150,200,200
Exp05_diag__Exp05dg-vxi_s2__ATM,Exp05_diag,Exp05dg-vxi_s2,ATM,150,150,200,200
Exp05_diag__Exp05dg-vxi_s2__OTM_K110,Exp05_diag,Exp05dg-vxi_s2,OTM_K110,150,150,200,200
